,gene symbol,forebrain_10.5_rep1,forebrain_10.5_rep2,forebrain_11.5_rep1,forebrain_11.5_rep2,forebrain_12.5_rep1,forebrain_12.5_rep2,forebrain_13.5_rep1,forebrain_13.5_rep2,forebrain_14.5_rep1,forebrain_14.5_rep2,forebrain_15.5_rep1,forebrain_15.5_rep2,forebrain_16.5_rep1,forebrain_16.5_rep2,forebrain_p0_rep1,forebrain_p0_rep2
9446,Glg1,34.889292,36.836009,48.538338,45.040875,54.283672,50.60625,34.040985,30.121962,34.718518,37.745425,40.001908,34.115624,39.450518,43.857016,28.726091,17.995997
9447,Gli1,4.613214,4.988072,3.974022,3.852416,2.176309,2.229298,1.146012,0.612286,0.354372,0.73925,0.859469,0.72577,0.853644,0.790199,0.659176,0.468789
9448,Gli2,7.50408,7.910519,9.669039,9.44895,6.436605,8.207419,3.230567,3.466975,1.68242,2.753551,2.009147,3.371102,2.314001,2.680491,0.494319,0.287221
9449,Gli3,37.227182,38.559789,40.594678,39.189636,28.19199,28.288865,15.112826,14.146814,7.202374,6.370521,7.397097,8.659023,7.445353,7.245658,1.897096,1.011491
9450,Glipr1,0.557864,0.329668,0.169476,0.614794,0.188953,0.372346,0.080505,0.109027,0.360386,0.11887,0.308996,0.202534,0.207681,0.28284,0.798427,0.764092
9451,Glipr1l1,0.0,0.0,0.0,0.0,0.0,0.132415,0.042569,0.036981,0.0,0.052446,0.085072,0.0,0.057694,0.0,0.189501,0.093484
9452,Glipr1l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9453,Glipr1l3,0.038447,0.0,0.0,0.04635,0.0,0.091147,0.077736,0.134368,0.398173,0.048614,0.35087,0.172001,0.264469,0.117405,0.455835,0.287643
9454,Glipr2,34.281974,34.587341,47.778597,50.255252,37.316462,39.094485,22.357267,20.05053,24.456025,22.990751,17.415318,17.189654,16.295246,17.242899,13.410268,12.278059
9455,Glis1,1.760221,1.857254,2.843297,3.628111,2.77543,3.025674,0.475681,0.659781,0.123561,0.165875,0.572728,0.777274,0.892704,0.47946,0.863001,0.26237
9456,Glis2,22.420791,20.392986,30.887191,29.618944,21.351736,19.136088,13.055282,14.549043,5.313607,8.058552,12.977879,8.177114,10.287394,8.01812,8.648463,5.186595
9457,Glis3,3.496979,1.521848,2.108487,2.428194,1.260343,1.355953,0.677219,0.539563,0.299353,0.778568,0.652585,0.500031,0.184091,1.003661,0.502381,0.550447
9458,Glmn,29.202381,31.624983,23.900391,24.74355,23.60454,22.764392,22.062629,19.424855,18.479727,27.741235,21.662879,22.67709,27.069048,25.752278,25.143995,19.595955
